buyer_name_clean,ocid,level1,sic_code,sic_string,start_date,end_date,co2_pm
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-86957,,71122,Engineering related scientific and technical consulting activities,1999-05-06,2023-01-15,0.18421726998300866
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-127000,,71122,Engineering related scientific and technical consulting activities,2008-11-19,2023-11-18,4.109614387438379
OFFICE OF BUDGET & MANAGEMENT,ocds-0c46vo-0517-71424,,85100,Pre,2010-07-28,2026-12-31,0.05609738901819
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-82310,,42220,Construction of utility projects for electricity and telecommunications,2013-02-20,2030-12-31,34.389569599877355
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-102551,,52219,"Other service activities incidental to land transportation, n.e.c.",2014-01-01,2023-12-31,1.249658997534922
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-75922,,43110,Demolition,2015-03-25,2025-03-25,0.15404022721051192
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-67793,,55100,Hotels and similar accommodation,2015-10-15,2042-12-31,0.7691217135164503
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-84577,,82301,Activities of exhibition and fair organisers,2016-03-18,2041-12-31,0.19375751141310116
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-84653,,70229,Management consultancy activities other than financial management,2016-03-18,2041-12-31,0.21668548359698478
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-115455,,49100,"Passenger rail transport, interurban",2016-11-30,2053-12-31,670.4473940199335
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-128024,,49320,Taxi operation,2016-11-30,2025-12-31,30.80172151898734
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-63316,,71122,Engineering related scientific and technical consulting activities,2017-01-05,2024-01-05,0.003094030516431925
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-61039,,71122,Engineering related scientific and technical consulting activities,2017-03-17,2042-12-31,0.16144745222929938
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-77862,,43290,Other construction installation,2017-03-31,2042-12-31,1.685489722756751
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-38699,,71122,Engineering related scientific and technical consulting activities,2017-04-10,2027-04-09,0.6664847986852916
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-64477,,42220,Construction of utility projects for electricity and telecommunications,2017-04-19,2042-12-31,2.349217801214446
DEPT OF AVIATION,ocds-0c46vo-0517-55177,,27900,Manufacture of other electrical equipment,2017-05-01,2028-11-30,0.9466856145424369
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-60358,,43290,Other construction installation,2017-05-01,2022-05-01,0.5413706188389923
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-52685,,62020,Information technology consultancy activities,2017-05-09,2022-05-08,16.500018082191783
DEPARTMENT OF FINANCE,ocds-0c46vo-0517-57170,,30920,Manufacture of bicycles and invalid carriages,2017-05-23,2022-05-22,0.1666668493150685
DEPT OF AVIATION,ocds-0c46vo-0517-54698,,43999,Other specialised construction activities n.e.c.,2017-05-30,2022-05-29,41.666712328767126
DEPARTMENT OF FINANCE,ocds-0c46vo-0517-47438,,70229,Management consultancy activities other than financial management,2017-06-01,2022-05-31,1.1333345753424657
OFFICE OF BUDGET & MANAGEMENT,ocds-0c46vo-0517-61348,,71122,Engineering related scientific and technical consulting activities,2017-06-01,2022-05-31,0.5833339726027398
DEPT OF AVIATION,ocds-0c46vo-0517-58539,,27900,Manufacture of other electrical equipment,2017-06-20,2022-06-19,21.98706159538356
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-64307,,43290,Other construction installation,2017-06-26,2042-12-31,1.5611414522266338
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-37875,,71122,Engineering related scientific and technical consulting activities,2017-06-28,2022-06-27,0.07390515432519452
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-61460,,68209,Other letting and operating of own or leased real estate,2017-06-29,2042-12-31,0.1632497853155861
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-61462,,43290,Other construction installation,2017-06-29,2042-12-31,0.6203491841992271
DEPARTMENT OF FINANCE,ocds-0c46vo-0517-54559,,71122,Engineering related scientific and technical consulting activities,2017-06-30,2022-07-01,0.10155548440065681
DEPT OF STREETS & SANITATION,ocds-0c46vo-0517-59018,,32500,Manufacture of medical and dental instruments and supplies,2017-07-07,2022-07-06,0.03000003287671233
DEPT OF STREETS & SANITATION,ocds-0c46vo-0517-55610,,28922,Manufacture of earthmoving equipment,2017-07-13,2022-07-12,2.114002316712329
CHICAGO PUBLIC LIBRARY,ocds-0c46vo-0517-59550,,26200,Manufacture of computers and peripheral equipment,2017-07-17,2022-07-16,0.09436210341041096
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-58996,,20590,Manufacture of other chemical products n.e.c.,2017-07-21,2022-07-20,6.398607012164383
DEPT OF AVIATION,ocds-0c46vo-0517-60151,,23420,Manufacture of ceramic sanitary fixtures,2017-07-24,2022-07-23,53.78922294702904
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-60210,,25730,Manufacture of tools,2017-07-24,2022-07-23,0.9856135801232877
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-53096,,72190,Other research and experimental development on natural sciences and engineering,2017-08-01,2022-07-31,0.2849003122191781
DEPT OF AVIATION,ocds-0c46vo-0517-59353,,38210,Treatment and disposal of non,2017-08-01,2022-07-31,72.89046721320986
DEPARTMENT OF CULTURAL AFFAIRS,ocds-0c46vo-0517-66161,,84110,General public administration activities,2017-08-04,2022-08-04,1.4158923877327492
DEPT OF AVIATION,ocds-0c46vo-0517-56283,,27900,Manufacture of other electrical equipment,2017-08-07,2029-08-06,7.992450856484425
OFFICE OF BUDGET & MANAGEMENT,ocds-0c46vo-0517-63202,,85590,Other education n.e.c.,2017-08-18,2024-12-31,0.25766187690824666
OFFICE OF BUDGET & MANAGEMENT,ocds-0c46vo-0517-63203,,85590,Other education n.e.c.,2017-08-18,2024-12-31,0.3671253883985884
OFFICE OF BUDGET & MANAGEMENT,ocds-0c46vo-0517-63206,,84110,General public administration activities,2017-08-18,2022-12-31,0.6204324324324324
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-62176,,25290,"Manufacture of other tanks, reservoirs and containers of metal",2017-08-22,2022-08-21,2.4100678861673916
DEPT OF AVIATION,ocds-0c46vo-0517-62053,,43220,"Plumbing, heat and air",2017-08-23,2022-08-22,3.8083527068659726
DEPT OF AVIATION,ocds-0c46vo-0517-63398,,27900,Manufacture of other electrical equipment,2017-08-29,2022-08-28,48.19195643804507
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-61417,,29100,Manufacture of motor vehicles,2017-08-30,2022-08-29,18.783912585087123
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-61711,,29100,Manufacture of motor vehicles,2017-09-06,2022-09-05,4.577918483558137
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-72263,,43290,Other construction installation,2017-09-07,2042-12-31,1.1683414364763143
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-72693,,43290,Other construction installation,2017-09-07,2042-12-31,1.3487829331602856
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-69407,,43110,Demolition,2017-09-15,2042-12-31,0.5725362637573068
FIRE DEPARTMENT,ocds-0c46vo-0517-63022,,14190,Manufacture of other wearing apparel and accessories n.e.c.,2017-09-15,2022-09-14,0.8963514823019179
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-61858,,29202,Manufacture of trailers and semi,2017-09-18,2022-09-17,1.0300998488753097
DEPT OF AVIATION,ocds-0c46vo-0517-63417,,33190,Repair of other equipment,2017-10-01,2022-09-30,7.860366947424658
DEPT OF AVIATION,ocds-0c46vo-0517-61840,,25730,Manufacture of tools,2017-10-23,2022-10-22,35.06831843099178
DEPT OF AVIATION,ocds-0c46vo-0517-63621,,42220,Construction of utility projects for electricity and telecommunications,2017-11-01,2022-10-31,6.466673753424658
DEPT OF AVIATION,ocds-0c46vo-0517-63622,,42220,Construction of utility projects for electricity and telecommunications,2017-11-01,2022-10-31,7.848341934246575
DEPT OF AVIATION,ocds-0c46vo-0517-64607,,43910,Roofing activities,2017-11-15,2022-11-14,19.96205187619726
DEPT OF AVIATION,ocds-0c46vo-0517-68140,,71122,Engineering related scientific and technical consulting activities,2017-11-28,2022-11-27,2.8333364383561643
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-90027,,70229,Management consultancy activities other than financial management,2017-12-07,2049-12-31,0.32982589651639344
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-60672,,68320,Management of real estate on a fee or contract basis,2017-12-08,2022-12-07,13.460776084852602
CITY CLERK,ocds-0c46vo-0517-68650,,62020,Information technology consultancy activities,2017-12-12,2022-12-11,0.2789503056986301
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-93725,,88100,Social work activities without accommodation for the elderly and disabled,2017-12-13,2042-12-31,0.5538448208010712
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-66581,,29100,Manufacture of motor vehicles,2017-12-13,2022-12-12,0.9568842886391672
DEPARTMENT OF FINANCE,ocds-0c46vo-0517-56145,,70229,Management consultancy activities other than financial management,2017-12-13,2022-12-12,1.900002082191781
DEPT OF AVIATION,ocds-0c46vo-0517-69568,,62020,Information technology consultancy activities,2017-12-19,2025-12-18,21.867535090722356
CHICAGO PUBLIC LIBRARY,ocds-0c46vo-0517-59622,,28220,Manufacture of lifting and handling equipment,2017-12-20,2024-12-19,5.355616882464788
DEPT OF AVIATION,ocds-0c46vo-0517-66794,,33120,Repair of machinery,2017-12-29,2022-12-28,3.5377361269668497
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-72966,,88100,Social work activities without accommodation for the elderly and disabled,2018-01-01,2022-12-31,2.4790072167172603
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-83273,,14120,Manufacture of workwear,2018-01-01,2035-12-31,6.8070892033117305
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-68524,,32300,Manufacture of sports goods,2018-01-08,2023-01-07,0.07745841821917808
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-48351,,28230,Manufacture of office machinery and equipment (except computers and peripheral equipment),2018-01-11,2023-01-10,1.4000015342465755
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-64697,,33120,Repair of machinery,2018-01-15,2023-01-14,5.751068802534247
DEPT OF AVIATION,ocds-0c46vo-0517-66942,,28110,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",2018-01-16,2023-01-15,16.88481850389041
DEPARTMENT OF CULTURAL AFFAIRS,ocds-0c46vo-0517-69080,,25110,Manufacture of metal structures and parts of structures,2018-01-19,2023-01-18,0.6300006904109589
DEPARTMENT OF POLICE,ocds-0c46vo-0517-60663,,71122,Engineering related scientific and technical consulting activities,2018-01-24,2023-01-23,6.66667397260274
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-66921,,71122,Engineering related scientific and technical consulting activities,2018-01-31,2023-01-30,0.2890325500809863
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-70750,,28230,Manufacture of office machinery and equipment (except computers and peripheral equipment),2018-02-01,2023-01-31,0.08830009676712329
DEPARTMENT OF POLICE,ocds-0c46vo-0517-70071,,10611,Grain milling,2018-02-07,2023-02-06,1.8365796126877807
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-70202,,32500,Manufacture of medical and dental instruments and supplies,2018-02-08,2023-02-07,0.19833355068493153
OFFICE OF BUDGET & MANAGEMENT,ocds-0c46vo-0517-71892,,72190,Other research and experimental development on natural sciences and engineering,2018-02-08,2024-12-31,1.0388547259729946
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-66932,,46630,"Wholesale of mining, construction and civil engineering machinery",2018-02-08,2023-02-07,5.580439448876713
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-57301,,43110,Demolition,2018-02-09,2023-02-08,8.333342465753425
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-57292,,43110,Demolition,2018-02-09,2023-02-08,8.333342465753425
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-77863,,71122,Engineering related scientific and technical consulting activities,2018-02-10,2043-12-31,0.08042490745637229
DEPT OF AVIATION,ocds-0c46vo-0517-64819,,71122,Engineering related scientific and technical consulting activities,2018-02-11,2023-02-10,1.5492195477729862
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-70944,,64191,Banks,2018-02-14,2023-02-13,0
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-70890,,91020,Museums activities,2018-02-14,2023-02-13,5.061433836770728
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-70891,,71122,Engineering related scientific and technical consulting activities,2018-02-14,2023-02-13,1.6642270238084382
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-70888,,71122,Engineering related scientific and technical consulting activities,2018-02-14,2023-02-13,11.388948424359025
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-70892,,43290,Other construction installation,2018-02-14,2023-02-13,31.01064956756959
DEPARTMENT OF POLICE,ocds-0c46vo-0517-71885,,70229,Management consultancy activities other than financial management,2018-02-26,2023-02-25,0.07250007945205479
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-68188,,45200,Maintenance and repair of motor vehicles,2018-02-28,2023-02-27,1.3503178131320548
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-67045,,45200,Maintenance and repair of motor vehicles,2018-02-28,2023-02-27,0.8375042511452055
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-72543,,29100,Manufacture of motor vehicles,2018-03-01,2023-02-28,38.08376316225179
DEPT OF AVIATION,ocds-0c46vo-0517-68936,,81210,General cleaning of buildings,2018-03-01,2023-02-28,1.654611313270685
DEPARTMENT OF HEALTH,ocds-0c46vo-0517-53283,Central Government,81210,General cleaning of buildings,2018-03-14,2023-03-13,9.000009863013698
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-45961,,25730,Manufacture of tools,2018-03-16,2023-03-15,7.500008219178082
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-68571,,71121,Engineering design activities for industrial process and production,2018-03-22,2023-03-21,0.7808487790570849
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-71251,,29100,Manufacture of motor vehicles,2018-03-23,2023-03-22,6.95366148710926
DEPT OF AVIATION,ocds-0c46vo-0517-64824,,71121,Engineering design activities for industrial process and production,2018-03-28,2023-03-27,3.616670630136986
DEPARTMENT OF CULTURAL AFFAIRS,ocds-0c46vo-0517-70649,,82301,Activities of exhibition and fair organisers,2018-03-29,2023-03-28,0.7406218116394521
DEPT OF AVIATION,ocds-0c46vo-0517-71261,,70229,Management consultancy activities other than financial management,2018-04-02,2023-04-01,11.288643037768768
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-68182,,45200,Maintenance and repair of motor vehicles,2018-04-05,2023-04-04,1.3319073029561754
DEPARTMENT OF FINANCE,ocds-0c46vo-0517-54815,,63110,"Data processing, hosting and related activities",2018-04-11,2023-04-10,0
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-74064,,71122,Engineering related scientific and technical consulting activities,2018-04-11,2023-04-10,2.083419373196811
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-73582,,71122,Engineering related scientific and technical consulting activities,2018-04-11,2023-04-10,2.525925168134137
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-77880,,43110,Demolition,2018-04-12,2023-04-12,0.05830145125958379
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-123437,,43110,Demolition,2018-04-12,2025-03-25,0.2994948798739661
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-71463,,27400,Manufacture of electric lighting equipment,2018-04-16,2023-04-15,7.000007671232877
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-77878,,43110,Demolition,2018-04-17,2023-04-17,0.11660290251916758
DEPARTMENT OF FINANCE,ocds-0c46vo-0517-81301,,65120,Non,2018-05-01,2023-12-31,0
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-83073,,43290,Other construction installation,2018-05-01,2043-12-31,2.2711136
DEPT OF AVIATION,ocds-0c46vo-0517-87116,,43290,Other construction installation,2018-05-01,2025-06-01,16.120834545834622
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-77769,,71122,Engineering related scientific and technical consulting activities,2018-05-03,2023-05-03,0.07495900876232202
DEPARTMENT OF CULTURAL AFFAIRS,ocds-0c46vo-0517-79211,,51101,Scheduled passenger air transport,2018-05-08,2022-12-31,4218.299802934998
DEPT OF AVIATION,ocds-0c46vo-0517-121732,,27900,Manufacture of other electrical equipment,2018-05-12,2030-12-31,0.5881045223136916
DEPT OF AVIATION,ocds-0c46vo-0517-157772,,27900,Manufacture of other electrical equipment,2018-05-12,2022-12-31,2.612532378984652
DEPT OF AVIATION,ocds-0c46vo-0517-93628,,28250,Manufacture of non,2018-05-12,2025-12-31,0.7108131083630967
DEPT OF AVIATION,ocds-0c46vo-0517-110179,,46190,Agents involved in the sale of a variety of goods,2018-05-12,2025-12-31,55.82964571118279
DEPT OF AVIATION,ocds-0c46vo-0517-157778,,23420,Manufacture of ceramic sanitary fixtures,2018-05-12,2022-12-31,26.78249688311688
DEPT OF AVIATION,ocds-0c46vo-0517-93629,,51101,Scheduled passenger air transport,2018-05-12,2025-12-31,210.27097416129033
DEPT OF AVIATION,ocds-0c46vo-0517-157775,,70229,Management consultancy activities other than financial management,2018-05-12,2025-12-31,0.4360817204301075
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-75071,,30990,Manufacture of other transport equipment n.e.c.,2018-05-14,2023-05-13,25.79753788791008
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-73943,,29100,Manufacture of motor vehicles,2018-05-16,2023-05-15,4.780235571941918
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-67802,,29100,Manufacture of motor vehicles,2018-05-16,2023-05-15,47.512282734864655
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-76536,,23610,Manufacture of concrete products for construction purposes,2018-05-22,2023-05-21,386.2133924970896
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-90025,,43290,Other construction installation,2018-05-28,2043-12-31,0.31920680217586644
DEPT OF AVIATION,ocds-0c46vo-0517-70775,,28220,Manufacture of lifting and handling equipment,2018-05-31,2023-05-30,28.504291037544988
DEPARTMENT OF CULTURAL AFFAIRS,ocds-0c46vo-0517-76074,,14190,Manufacture of other wearing apparel and accessories n.e.c.,2018-05-31,2023-05-30,0.3888004260821918
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-102736,,43290,Other construction installation,2018-06-07,2023-06-06,0.12779614005041096
FIRE DEPARTMENT,ocds-0c46vo-0517-76631,,32300,Manufacture of sports goods,2018-06-08,2023-06-07,1.4578075975956166
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-76527,,26200,Manufacture of computers and peripheral equipment,2018-06-15,2023-06-14,0.21462523520547946
CHICAGO PUBLIC LIBRARY,ocds-0c46vo-0517-74584,,49410,Freight transport by road,2018-06-15,2023-06-14,6.0375206164536985
DEPARTMENT OF FINANCE,ocds-0c46vo-0517-70232,,30990,Manufacture of other transport equipment n.e.c.,2018-06-29,2023-06-28,10.166677808219179
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-79575,,81300,Landscape service activities,2018-07-18,2023-07-17,4.581272230566805
DEPT OF AVIATION,ocds-0c46vo-0517-82327,,71122,Engineering related scientific and technical consulting activities,2018-07-27,2023-12-31,0.264376294875053
DEPARTMENT OF HEALTH,ocds-0c46vo-0517-75725,Central Government,71122,Engineering related scientific and technical consulting activities,2018-08-01,2023-07-31,0.6455710941410631
DEPARTMENT OF CULTURAL AFFAIRS,ocds-0c46vo-0517-80313,,27400,Manufacture of electric lighting equipment,2018-08-06,2023-08-05,0.2012502205479452
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-84848,,43110,Demolition,2018-08-08,2023-08-08,0.6252714044687842
DEPT OF AVIATION,ocds-0c46vo-0517-76897,,23610,Manufacture of concrete products for construction purposes,2018-08-15,2023-08-14,141.69786361849313
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-90687,,43290,Other construction installation,2018-08-22,2022-12-31,1.1750169912060302
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-90689,,43290,Other construction installation,2018-08-22,2022-12-31,1.050828203517588
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-100837,,43290,Other construction installation,2018-08-22,2022-12-31,0.8120036118090452
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-96815,,27400,Manufacture of electric lighting equipment,2018-08-22,2022-12-31,1.146358040201005
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-90688,,43910,Roofing activities,2018-08-22,2022-12-31,0.7642386934673366
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-96813,,43290,Other construction installation,2018-08-22,2022-12-31,1.2896527952261305
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-95520,,43290,Other construction installation,2018-08-22,2022-12-31,0.3821193467336683
OFFICE OF EMERGENCY COMMUNICATION,ocds-0c46vo-0517-78284,,82301,Activities of exhibition and fair organisers,2018-08-29,2023-08-28,0.36998540546301373
DEPT OF AVIATION,ocds-0c46vo-0517-86346,,27900,Manufacture of other electrical equipment,2018-09-01,2025-09-30,6.339658919721577
DEPT OF AVIATION,ocds-0c46vo-0517-75076,,33200,Installation of industrial machinery and equipment,2018-09-01,2027-08-31,12.496209677419355
DEPT OF AVIATION,ocds-0c46vo-0517-83165,,30300,Manufacture of air and spacecraft and related machinery,2018-09-05,2022-06-16,0.13224652173913043
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-82123,,30990,Manufacture of other transport equipment n.e.c.,2018-09-11,2023-09-10,14.498324038556877
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-82565,,30990,Manufacture of other transport equipment n.e.c.,2018-09-25,2023-09-24,8.658495288751562
DEPARTMENT OF POLICE,ocds-0c46vo-0517-74634,,28230,Manufacture of office machinery and equipment (except computers and peripheral equipment),2018-09-25,2023-09-24,0.5000005479452055
DEPARTMENT OF POLICE,ocds-0c46vo-0517-128956,,71122,Engineering related scientific and technical consulting activities,2018-10-01,2022-09-30,0.0027829197164383566
DEPARTMENT OF POLICE,ocds-0c46vo-0517-128953,,51210,Freight air transport,2018-10-01,2022-09-30,2.3875457414856167
DEPARTMENT OF POLICE,ocds-0c46vo-0517-128960,,43290,Other construction installation,2018-10-01,2022-09-22,0.023101609338842977
DEPARTMENT OF POLICE,ocds-0c46vo-0517-128961,,69102,Solicitors,2018-10-01,2022-09-30,0.0020108355369863012
DEPARTMENT OF POLICE,ocds-0c46vo-0517-128947,,71122,Engineering related scientific and technical consulting activities,2018-10-01,2022-09-30,0.0019229187739726026
DEPT OF AVIATION,ocds-0c46vo-0517-82444,,33120,Repair of machinery,2018-10-01,2023-09-30,23.205325430465752
DEPARTMENT OF POLICE,ocds-0c46vo-0517-128959,,71122,Engineering related scientific and technical consulting activities,2018-10-01,2022-09-30,0.001955627143150685
DEPT OF AVIATION,ocds-0c46vo-0517-87486,,46190,Agents involved in the sale of a variety of goods,2018-10-01,2033-12-31,71.36674361997845
DEPARTMENT OF POLICE,ocds-0c46vo-0517-128964,,80200,Security systems service activities,2018-10-01,2022-09-30,0.492498456390411
DEPARTMENT OF POLICE,ocds-0c46vo-0517-128955,,35110,Production of electricity,2018-10-01,2022-09-30,1.6991443620739728
DEPT OF AVIATION,ocds-0c46vo-0517-89430,,51210,Freight air transport,2018-10-01,2025-09-30,84.02970378521127
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-84275,,8120,Operation of gravel and sand pits; mining of clays and kaolin,2018-10-01,2023-09-30,114.93349928771508
DEPARTMENT OF POLICE,ocds-0c46vo-0517-128949,,30920,Manufacture of bicycles and invalid carriages,2018-10-01,2022-09-30,0.031250034246575346
DEPARTMENT OF POLICE,ocds-0c46vo-0517-128954,,45200,Maintenance and repair of motor vehicles,2018-10-01,2022-09-30,0.024723152093835618
DEPT OF AVIATION,ocds-0c46vo-0517-86347,,30300,Manufacture of air and spacecraft and related machinery,2018-10-02,2022-06-16,0.06744279379157428
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-82216,,46630,"Wholesale of mining, construction and civil engineering machinery",2018-10-16,2023-10-15,11.933346410958904
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-84272,,49320,Taxi operation,2018-11-01,2023-10-31,1375.4230952713294
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-92878,,65120,Non,2018-11-01,2033-11-01,0
CPD,ocds-0c46vo-0517-86023,,71122,Engineering related scientific and technical consulting activities,2018-11-01,2023-10-31,0.05684006229041096
DEPT OF AVIATION,ocds-0c46vo-0517-85577,,52219,"Other service activities incidental to land transportation, n.e.c.",2018-11-01,2023-10-31,18.75717355578411
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-81198,,29100,Manufacture of motor vehicles,2018-11-02,2023-11-01,5.911051811191233
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-79299,,25730,Manufacture of tools,2018-11-02,2023-11-01,0.33795037035616443
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-91797,,43110,Demolition,2018-11-06,2023-11-06,0.20125827550383352
DEPARTMENT OF FINANCE,ocds-0c46vo-0517-71921,,39000,Remediation activities and other waste management services,2018-11-08,2023-11-07,1.650988069300011
DEPT OF AVIATION,ocds-0c46vo-0517-87375,,27900,Manufacture of other electrical equipment,2018-12-01,2023-11-30,0.5761131313561644
DEPT OF AVIATION,ocds-0c46vo-0517-87372,,27900,Manufacture of other electrical equipment,2018-12-01,2023-11-30,23.341338079520547
DEPT OF AVIATION,ocds-0c46vo-0517-87374,,27900,Manufacture of other electrical equipment,2018-12-01,2023-11-30,1.9214021056438357
DEPARTMENT OF WATER MANAGEMENT,ocds-0c46vo-0517-87518,,71200,Technical testing and analysis,2018-12-06,2023-12-05,0.1600835087671233
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-131349,,43110,Demolition,2018-12-11,2023-12-31,0.9886251354279524
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-100838,,43110,Demolition,2018-12-18,2022-12-31,1.2381289009497964
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-139770,,30990,Manufacture of other transport equipment n.e.c.,2018-12-18,2023-12-31,0.9923882544861338
CHICAGO DEPARTMENT OF TRANSPORTATION,ocds-0c46vo-0517-184824,,49410,Freight transport by road,2018-12-19,2026-12-31,16.54568957055215
DEPT OF COMMUNITY DEVELOPMENT,ocds-0c46vo-0517-97911,,72190,Other research and experimental development on natural sciences and engineering,2018-12-21,2058-12-31,0.2080485636114911
