releasedate,aw_contractperiod_startdate,aw_contractperiod_enddate,buyer,buyer_matched_name,level1,ocid,aw_supplier_name,aw_value,aw_total_suppliers,aw_value_currency
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-10-16 15:45:17+00,2016-08-02 00:00:00+00,2016-12-31 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-ca103d9f-679e-4e50-97f9-10efc6a80054,Deloitte LLP,440000,1,GBP
2017-12-08 11:53:04+00,2017-10-09 00:00:00+00,2017-12-01 00:00:00+00,OFFICE FOR NATIONAL STATISTICS,OFFICE FOR NATIONAL STATISTICS,Central Government,ocds-0c46vo-0001-41dcf4a2-1e7b-451f-88d6-3e8898d4d9e9,DELOITTE LLP,494531,1,GBP
2017-12-08 11:53:04+00,2017-10-09 00:00:00+00,2017-12-01 00:00:00+00,OFFICE FOR NATIONAL STATISTICS,OFFICE FOR NATIONAL STATISTICS,Central Government,ocds-0c46vo-0001-41dcf4a2-1e7b-451f-88d6-3e8898d4d9e9,DELOITTE LLP,494531,1,GBP
2017-12-08 11:53:04+00,2017-10-09 00:00:00+00,2017-12-01 00:00:00+00,OFFICE FOR NATIONAL STATISTICS,OFFICE FOR NATIONAL STATISTICS,Central Government,ocds-0c46vo-0001-41dcf4a2-1e7b-451f-88d6-3e8898d4d9e9,DELOITTE LLP,494531,1,GBP
2017-12-08 11:53:04+00,2017-10-09 00:00:00+00,2017-12-01 00:00:00+00,OFFICE FOR NATIONAL STATISTICS,OFFICE FOR NATIONAL STATISTICS,Central Government,ocds-0c46vo-0001-41dcf4a2-1e7b-451f-88d6-3e8898d4d9e9,DELOITTE LLP,494531,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2017-12-21 15:29:39+00,2017-10-02 00:00:00+00,2017-10-13 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-47961524-b98a-48b3-bd29-be0bf401e9e1,Deloitte LLP,76530,1,GBP
2018-01-15 16:56:28+00,2015-07-24 00:00:00+00,2017-12-31 00:00:00+00,Crown Commercial Service,CROWN COMMERCIAL SERVICE,Central Government,ocds-0c46vo-0001-3f07bd65-e81e-4ef5-8de1-22816350240b,Deloitte Llp,1960000,1,GBP
